id,transdate,description,amount,category,accountname
64,21-Oct-06,,-125,Health & Fitness,CAD CHECKING
65,23-Oct-06,,-2.35,Fast Food,CAD CHECKING
66,23-Oct-06,,-31.85,Gas & Fuel,CAD CHECKING
67,23-Oct-06,,-6.65,Restaurants,CAD CHECKING
68,23-Oct-06,,-92,Licenses,CAD CHECKING
69,24-Oct-06,,-1189.17,Credit Card Payment,CAD CHECKING
70,26-Oct-06,,-54.11,Groceries,CAD CHECKING
71,27-Oct-06,,-10.1,Fast Food,CAD CHECKING
72,29-Oct-06,,-11.72,Groceries,CAD CHECKING
73,29-Oct-06,,-3.88,Entertainment,CAD CHECKING
74,30-Oct-06,,-132.96,Utilities,CAD CHECKING
75,30-Oct-06,,-5.23,Fast Food,CAD CHECKING
76,30-Oct-06,,-58.3,Clothing,CAD CHECKING
77,30-Oct-06,,-3.09,Fast Food,CAD CHECKING
78,31-Oct-06,,-14.15,Fast Food,CAD CHECKING
79,31-Oct-06,,-30.18,Groceries,CAD CHECKING
80,31-Oct-06,,-800,Mortgage & Rent,CAD CHECKING
81,1-Nov-06,,-18.98,Utilities,CAD CHECKING
82,1-Nov-06,,-392,Mortgage & Rent,CAD CHECKING
83,1-Nov-06,,-13.3,Entertainment,CAD CHECKING
84,2-Nov-06,,-3,Education,CAD CHECKING
85,5-Nov-06,,-3.42,Fast Food,CAD CHECKING
86,5-Nov-06,,-24,Gas & Fuel,CAD CHECKING
87,6-Nov-06,,-15.05,Alcohol & Bars,CAD CHECKING
88,9-Nov-06,,-7.02,Coffee Shops,CAD CHECKING
89,12-Nov-06,,-7.79,Restaurants,CAD CHECKING
90,12-Nov-06,,-31,Hair,CAD CHECKING
91,12-Nov-06,,-5.46,Fast Food,CAD CHECKING
92,13-Nov-06,,-16.57,Restaurants,CAD CHECKING
93,13-Nov-06,,596.91,Mortgage & Rent,CAD CHECKING
94,15-Nov-06,,-2.65,Fast Food,CAD CHECKING
95,17-Nov-06,,-17.45,Groceries,CAD CHECKING
96,17-Nov-06,,-18.94,Restaurants,CAD CHECKING
97,18-Nov-06,,-298,Credit Card Payment,CAD CHECKING
98,20-Nov-06,,-3.34,Fast Food,CAD CHECKING
99,21-Nov-06,,297,Gift Received,CAD CHECKING
100,22-Nov-06,,-125.55,Groceries,CAD CHECKING
101,23-Nov-06,,-67,Gas & Fuel,CAD CHECKING
102,23-Nov-06,,-90.15,Electronics & Software,CAD CHECKING
103,23-Nov-06,,-17.22,Fast Food,CAD CHECKING
104,24-Nov-06,,-2.3,Fast Food,CAD CHECKING
105,25-Nov-06,,-16.64,Gas & Fuel,CAD CHECKING
106,2-Dec-06,,-5.39,Fast Food,CAD CHECKING
107,2-Dec-06,,-364,Mortgage & Rent,CAD CHECKING
108,3-Dec-06,,-401.41,Travel,CAD CHECKING
109,3-Dec-06,,-3.71,Fast Food,CAD CHECKING
110,5-Dec-06,,-4.6,Fast Food,CAD CHECKING
111,5-Dec-06,,-3.94,Fast Food,CAD CHECKING
112,6-Dec-06,,-113.62,Credit Card Payment,CAD CHECKING
113,7-Dec-06,,-36.17,Utilities,CAD CHECKING
114,8-Dec-06,,-5.58,Fast Food,CAD CHECKING
115,10-Dec-06,,-9.18,Fast Food,CAD CHECKING
116,11-Dec-06,,-15.9,Fast Food,CAD CHECKING
117,11-Dec-06,,-6.62,Fast Food,CAD CHECKING
118,12-Dec-06,,-3.5,Fast Food,CAD CHECKING
119,13-Dec-06,,-24,Gas & Fuel,CAD CHECKING
120,15-Dec-06,,-11.02,Entertainment,CAD CHECKING
121,15-Dec-06,,-47.55,Clothing,CAD CHECKING
122,17-Dec-06,,-23.7,Entertainment,CAD CHECKING
123,18-Dec-06,,-29.3,Groceries,CAD CHECKING
124,19-Dec-06,,255,Gift Received,CAD CHECKING
125,19-Dec-06,,-6.47,Entertainment,CAD CHECKING
126,19-Dec-06,,-49.13,Entertainment,CAD CHECKING
127,20-Dec-06,,-18.49,Entertainment,CAD CHECKING
128,22-Dec-06,,-10.3,Fast Food,CAD CHECKING
129,22-Dec-06,,-38.12,Furnishings,CAD CHECKING
130,22-Dec-06,,-20.5,Entertainment,CAD CHECKING
131,23-Dec-06,,445.79,Mortgage & Rent,CAD CHECKING
132,24-Dec-06,,-13.34,Groceries,CAD CHECKING
133,24-Dec-06,,-7.52,Fast Food,CAD CHECKING
134,25-Dec-06,,-37,Utilities,CAD CREDIT CARD
135,26-Dec-06,,-53.1,Gas & Fuel,CAD CHECKING
136,26-Dec-06,,-23.9,Restaurants,CAD CHECKING
137,27-Dec-06,,-6.62,Fast Food,CAD CHECKING
138,27-Dec-06,,-7.94,Fast Food,CAD CHECKING
139,28-Dec-06,,-66,Utilities,CAD CHECKING
140,28-Dec-06,,-4.17,Coffee Shops,CAD CHECKING
141,28-Dec-06,,-18,Restaurants,CAD CHECKING
142,28-Dec-06,,-14.84,Fast Food,CAD CHECKING
143,31-Dec-06,,-8,Restaurants,CAD CHECKING
144,1-Jan-07,,-1,Parking,CAD CREDIT CARD
145,1-Jan-07,,-21,Restaurants,CAD CREDIT CARD
146,2-Jan-07,,-8.48,Fast Food,CAD CHECKING
147,2-Jan-07,,1098.07,Mortgage & Rent,CAD CHECKING
148,2-Jan-07,,-159.45,Education,CAD CHECKING
149,3-Jan-07,,-26,Clothing,CAD CHECKING
150,4-Jan-07,,-107.41,Clothing,CAD CHECKING
151,4-Jan-07,,-292,Mortgage & Rent,CAD CHECKING
152,4-Jan-07,,55.4,Taxes,CAD CHECKING
153,5-Jan-07,,-21.2,Groceries,CAD CHECKING
154,5-Jan-07,,-26.24,Education,CAD CHECKING
155,5-Jan-07,,-3.05,Fast Food,CAD CHECKING
156,7-Jan-07,,-3.15,Fast Food,CAD CHECKING
157,8-Jan-07,,-23.85,Utilities,CAD CHECKING
158,8-Jan-07,,-186.91,Education,CAD CHECKING
159,8-Jan-07,,-19,Restaurants,CAD CHECKING
160,8-Jan-07,,-226.85,Travel,CAD CHECKING
161,9-Jan-07,,-28.9,Gift,CAD CHECKING
162,9-Jan-07,,-53.73,Clothing,CAD CHECKING
163,10-Jan-07,,-9.23,Personal Care,CAD CHECKING
164,11-Jan-07,,-456.62,Education,CAD CHECKING
165,12-Jan-07,,-7.55,Restaurants,CAD CHECKING
166,12-Jan-07,,-10.74,Fast Food,CAD CHECKING
167,14-Jan-07,,-2.26,Groceries,CAD CHECKING
168,14-Jan-07,,-63.3,Alcohol & Bars,CAD CHECKING
169,15-Jan-07,,-11.5,Restaurants,CAD CHECKING
170,15-Jan-07,,-77.21,Groceries,CAD CHECKING
171,16-Jan-07,,-11.98,Transportation,CAD CREDIT CARD
172,16-Jan-07,,-59,Gas & Fuel,CAD CHECKING
173,17-Jan-07,,-7.08,Transportation,CAD CREDIT CARD
174,17-Jan-07,,-7.98,Personal Care,CAD CHECKING
175,18-Jan-07,,74.36,Education,CAD CHECKING
176,18-Jan-07,,-690.95,Utilities,CAD CHECKING
177,18-Jan-07,,255,Gift Received,CAD CHECKING
178,19-Jan-07,,-8.12,Fast Food,CAD CHECKING
179,20-Jan-07,,-7.31,Transportation,CAD CREDIT CARD
180,21-Jan-07,,-4,Groceries,CAD CHECKING
181,21-Jan-07,,-25.67,Transportation,CAD CREDIT CARD
182,22-Jan-07,,-18.49,Restaurants,CAD CHECKING
183,22-Jan-07,,-42.03,Groceries,CAD CHECKING
184,22-Jan-07,,-14.74,Personal Care,CAD CHECKING
185,23-Jan-07,,-52.94,Education,CAD CREDIT CARD
186,25-Jan-07,,-1046.39,Education,CAD CHECKING
187,26-Jan-07,,-20,Groceries,CAD CHECKING
188,29-Jan-07,,-28.6,Transportation,CAD CREDIT CARD
189,30-Jan-07,,-19.56,Transportation,CAD CREDIT CARD
190,31-Jan-07,,-45.72,Gas & Fuel,CAD CHECKING
191,31-Jan-07,,-1.11,Transportation,CAD CREDIT CARD
192,31-Jan-07,,-13,Parking,CAD CREDIT CARD
193,31-Jan-07,,-2.42,Misc Expenses,CAD CHECKING
194,31-Jan-07,,-3.42,Fast Food,CAD CHECKING
195,31-Jan-07,,-5.69,Education,CAD CHECKING
196,31-Jan-07,,568.5,Mortgage & Rent,CAD CHECKING
197,1-Feb-07,,500.6,Mortgage & Rent,CAD CHECKING
198,2-Feb-07,,-7.5,Fast Food,CAD CHECKING
199,2-Feb-07,,-30.78,Utilities,CAD CHECKING
200,3-Feb-07,,-1.02,Groceries,CAD CHECKING
201,3-Feb-07,,-332,Mortgage & Rent,CAD CHECKING
202,3-Feb-07,,-5.84,Fast Food,CAD CHECKING
203,3-Feb-07,,-11.98,Fast Food,CAD CHECKING
204,6-Feb-07,,-2.23,Fast Food,CAD CHECKING
205,6-Feb-07,,-1.77,Fast Food,CAD CHECKING
206,7-Feb-07,,-4,Groceries,CAD CHECKING
207,7-Feb-07,,-21,Fast Food,CAD CHECKING
208,8-Feb-07,,-4.34,Fast Food,CAD CHECKING
209,9-Feb-07,,-9,Coffee Shops,CAD CHECKING
210,9-Feb-07,,-7.73,Groceries,CAD CHECKING
211,10-Feb-07,,-25.49,Restaurants,CAD CHECKING
212,11-Feb-07,,-2.05,Fast Food,CAD CHECKING
213,11-Feb-07,,-5.74,Fast Food,CAD CHECKING
214,11-Feb-07,,-183.49,Credit Card Payment,CAD CHECKING
215,12-Feb-07,,-56.42,Groceries,CAD CHECKING
216,14-Feb-07,,174.08,Credit Card Payment,CAD CREDIT CARD
217,15-Feb-07,,-12,Personal Care,CAD CHECKING
218,16-Feb-07,,-2,Parking,CAD CREDIT CARD
219,17-Feb-07,,-72.8,Gas & Fuel,CAD CHECKING
220,17-Feb-07,,-21,Auto Insurance,CAD CHECKING
221,17-Feb-07,,-16.16,Alcohol & Bars,CAD CHECKING
222,18-Feb-07,,-3.89,Fast Food,CAD CHECKING
223,18-Feb-07,,-6.27,Transportation,CAD CREDIT CARD
224,19-Feb-07,,-9.3,Rental Car & Taxi,CAD CHECKING
225,19-Feb-07,,315,Gift Received,CAD CHECKING
226,19-Feb-07,,-5.46,Personal Care,CAD CHECKING
227,20-Feb-07,,-2.8,Fast Food,CAD CHECKING
228,20-Feb-07,,-28.6,Health & Fitness,CAD CHECKING
229,20-Feb-07,,-1070,Transfer,CAD CHECKING
230,21-Feb-07,,-1.77,Gas & Fuel,CAD CHECKING
231,21-Feb-07,,-3.34,Fast Food,CAD CHECKING
232,21-Feb-07,,-4.8,Fast Food,CAD CHECKING
233,22-Feb-07,,-19,Restaurants,CAD CHECKING
234,23-Feb-07,,-9.2,Groceries,CAD CHECKING
235,23-Feb-07,,-15.8,Alcohol & Bars,CAD CHECKING
236,25-Feb-07,,-4.15,Fast Food,CAD CHECKING
237,26-Feb-07,,-3.11,Entertainment,CAD CHECKING
238,26-Feb-07,,-48.72,Groceries,CAD CHECKING
239,26-Feb-07,,-30.82,Groceries,CAD CHECKING
240,27-Feb-07,,-4.23,Fast Food,CAD CHECKING
241,28-Feb-07,,-5.28,Gift,CAD CHECKING
242,28-Feb-07,,-29.5,Entertainment,CAD CHECKING
243,2-Mar-07,,-4.09,Fast Food,CAD CHECKING
244,2-Mar-07,,-224,Mortgage & Rent,CAD CHECKING
245,2-Mar-07,,-46.67,Gas & Fuel,CAD CHECKING
246,4-Mar-07,,-30,Hair,CAD CREDIT CARD
247,7-Mar-07,,-11.81,Alcohol & Bars,CAD CREDIT CARD
248,7-Mar-07,,-9,Restaurants,CAD CREDIT CARD
249,10-Mar-07,,-43.1,Utilities,CAD CREDIT CARD
250,10-Mar-07,,-12.4,Entertainment,CAD CHECKING
251,11-Mar-07,,289.44,Mortgage & Rent,CAD CHECKING
252,11-Mar-07,,-37.41,Alcohol & Bars,CAD CREDIT CARD
253,12-Mar-07,,-6.25,Fast Food,CAD CHECKING
254,13-Mar-07,,-27,Fast Food,CAD CREDIT CARD
255,13-Mar-07,,998.4,Taxes,CAD CHECKING
256,14-Mar-07,,-6.35,Fast Food,CAD CREDIT CARD
257,14-Mar-07,,1518.4,Transfer,CAD CHECKING
258,14-Mar-07,,-85.4,Groceries,CAD CHECKING
259,16-Mar-07,,-3,Parking,CAD CREDIT CARD
260,17-Mar-07,,-1.4,Misc Expenses,CAD CHECKING
261,17-Mar-07,,-2.27,Entertainment,CAD CHECKING
262,17-Mar-07,,-4.91,Utilities,CAD CHECKING
263,17-Mar-07,,-66.65,Credit Card Payment,CAD CHECKING
264,17-Mar-07,,59.24,Credit Card Payment,CAD CREDIT CARD
265,17-Mar-07,,-50.19,Restaurants,CAD CREDIT CARD
266,18-Mar-07,,-21.03,Utilities,CAD CHECKING
267,18-Mar-07,,339,Gift Received,CAD CHECKING
268,19-Mar-07,,-1,Parking,CAD CREDIT CARD
269,20-Mar-07,,-4.17,Fast Food,CAD CHECKING
270,20-Mar-07,,-6,Education,CAD CHECKING
271,21-Mar-07,,-2.19,Gift,CAD CHECKING
272,22-Mar-07,,-5.08,Fast Food,CAD CHECKING
273,22-Mar-07,,-53.34,Gas & Fuel,CAD CHECKING
274,22-Mar-07,,-6,Groceries,CAD CHECKING
275,25-Mar-07,,-3.68,Fast Food,CAD CHECKING
276,26-Mar-07,,-39,Restaurants,CAD CREDIT CARD
277,27-Mar-07,,-5.8,Groceries,CAD CHECKING
278,27-Mar-07,,-22.45,Utilities,CAD CHECKING
279,28-Mar-07,,124.5,Mortgage & Rent,CAD CHECKING
280,28-Mar-07,,-26,Gift,CAD CREDIT CARD
281,29-Mar-07,,-29.5,Entertainment,CAD CHECKING
282,29-Mar-07,,-15.11,Fast Food,CAD CHECKING
283,30-Mar-07,,-21,Personal Care,CAD CHECKING
284,30-Mar-07,,-14.1,Fast Food,CAD CHECKING
285,31-Mar-07,,-345.72,Credit Card Payment,CAD CHECKING
286,1-Apr-07,,-568,Mortgage & Rent,CAD CHECKING
287,3-Apr-07,,-28.07,Fast Food,CAD CREDIT CARD
288,5-Apr-07,,334.2,Credit Card Payment,CAD CREDIT CARD
289,5-Apr-07,,-4.23,Fast Food,CAD CHECKING
290,6-Apr-07,,30.78,Taxes,CAD CHECKING
291,7-Apr-07,,-35.57,Gas & Fuel,CAD CHECKING
292,8-Apr-07,,-5.6,Fast Food,CAD CHECKING
293,9-Apr-07,,-18.05,Groceries,CAD CHECKING
294,12-Apr-07,,-13,Alcohol & Bars,CAD CHECKING
295,14-Apr-07,,668.62,Mortgage & Rent,CAD CHECKING
296,15-Apr-07,,-2.75,Fast Food,CAD CHECKING
297,16-Apr-07,,-36.63,Groceries,CAD CHECKING
298,16-Apr-07,,-54.53,Furnishings,CAD CHECKING
299,17-Apr-07,,-8,Fast Food,CAD CHECKING
300,18-Apr-07,,-45.35,Groceries,CAD CHECKING
301,18-Apr-07,,234,Gift Received,CAD CHECKING
302,20-Apr-07,,-2.09,Fast Food,CAD CHECKING
303,20-Apr-07,,-9.67,Entertainment,CAD CHECKING
304,20-Apr-07,,-6.05,Fast Food,CAD CHECKING
305,21-Apr-07,,-83.34,Groceries,CAD CHECKING
306,22-Apr-07,,-10.27,Entertainment,CAD CHECKING
307,25-Apr-07,,-59.32,Electronics & Software,CAD CHECKING
308,25-Apr-07,,-429.54,Clothing,CAD CHECKING
309,26-Apr-07,,-3.6,Education,CAD CHECKING
310,26-Apr-07,,-18.48,Clothing,CAD CHECKING
311,27-Apr-07,,-10.7,Electronics & Software,CAD CHECKING
312,29-Apr-07,,-3.9,Fast Food,CAD CHECKING
313,29-Apr-07,,-46.19,Gas & Fuel,CAD CHECKING
314,30-Apr-07,,-11.13,Fast Food,CAD CHECKING
315,30-Apr-07,,-104.13,Utilities,CAD CREDIT CARD
316,1-May-07,,-2.89,Clothing,CAD CHECKING
317,1-May-07,,-24.11,Utilities,CAD CHECKING
318,1-May-07,,-544,Transfer,CAD CHECKING
319,1-May-07,,-6.51,Fast Food,CAD CHECKING
320,1-May-07,,-14.2,Restaurants,CAD CHECKING
321,2-May-07,,-32.21,Clothing,CAD CHECKING
322,2-May-07,,-22.5,Groceries,CAD CHECKING
323,2-May-07,,-123,Education,CAD CHECKING
324,4-May-07,,-10.8,Entertainment,CAD CHECKING
325,6-May-07,,-12.09,Groceries,CAD CHECKING
326,7-May-07,,-33.5,Utilities,CAD CHECKING
327,7-May-07,,-188.79,Utilities,CAD CHECKING
328,8-May-07,,-53.64,Credit Card Payment,CAD CHECKING
329,9-May-07,,-6.31,Personal Care,CAD CHECKING
330,9-May-07,,-9,Fast Food,CAD CHECKING
331,9-May-07,,-20.1,Gift,CAD CHECKING
332,9-May-07,,710.67,Paycheck,CAD CHECKING
333,10-May-07,,3281.82,Transfer,CAD CHECKING
334,10-May-07,,-6.63,Fast Food,CAD CHECKING
335,10-May-07,,-18.11,Entertainment,CAD CHECKING
336,10-May-07,,-81.14,Clothing,CAD CHECKING
337,11-May-07,,24.38,Credit Card Payment,CAD CREDIT CARD
338,11-May-07,,-10.38,Clothing,CAD CHECKING
339,11-May-07,,-18.4,Groceries,CAD CHECKING
340,12-May-07,,-39.8,Restaurants,CAD CHECKING
341,13-May-07,,-145.54,Loan Payment,CAD CHECKING
342,13-May-07,,-11.5,Groceries,CAD CHECKING
343,13-May-07,,-22,Hair,CAD CHECKING
344,16-May-07,,247,Education,CAD CHECKING
345,16-May-07,,155.97,Travel,CAD CHECKING
346,16-May-07,,-1770,Transfer,CAD CHECKING
347,16-May-07,,-3.87,Fast Food,CAD CHECKING
348,16-May-07,,-22.51,Restaurants,CAD CREDIT CARD
349,17-May-07,,-510.32,Education,CAD CREDIT CARD
350,17-May-07,,-2,Fast Food,CAD CHECKING
351,19-May-07,,-64.38,Groceries,CAD CHECKING
352,21-May-07,,411,Gift Received,CAD CHECKING
353,21-May-07,,-6.15,Fast Food,CAD CHECKING
354,24-May-07,,133.81,Taxes,CAD CHECKING
355,24-May-07,,-12.32,Coffee Shops,CAD CHECKING
356,24-May-07,,-17.6,Utilities,CAD CREDIT CARD
357,26-May-07,,-89.14,Gas & Fuel,CAD CHECKING
358,26-May-07,,-1875,Transfer,CAD CHECKING
359,27-May-07,,1371.76,Paycheck,CAD CHECKING
360,28-May-07,,-2.39,Transportation,CAD CREDIT CARD
361,30-May-07,,-23.01,Fast Food,CAD CREDIT CARD
362,1-Jun-07,,-15.39,Utilities,CAD CHECKING
363,1-Jun-07,,-25.7,Entertainment,CAD CHECKING
364,2-Jun-07,,-524,Mortgage & Rent,CAD CHECKING
365,4-Jun-07,,-11.1,Fast Food,CAD CHECKING
366,4-Jun-07,,-58.16,Groceries,CAD CHECKING
367,7-Jun-07,,-5,Education,CAD CREDIT CARD
368,8-Jun-07,,-6.82,Fast Food,CAD CHECKING
369,8-Jun-07,,1294.94,Paycheck,CAD CHECKING
370,9-Jun-07,,-16.67,Restaurants,CAD CHECKING
371,9-Jun-07,,-750,Transfer,CAD CHECKING
372,9-Jun-07,,-14.2,Groceries,CAD CHECKING
373,9-Jun-07,,-61.53,Restaurants,CAD CREDIT CARD
374,10-Jun-07,,-29.03,Restaurants,CAD CHECKING
375,10-Jun-07,,-13.86,Transportation,CAD CREDIT CARD
376,10-Jun-07,,-622.87,Credit Card Payment,CAD CHECKING
377,11-Jun-07,,503.6,Credit Card Payment,CAD CREDIT CARD
378,12-Jun-07,,-8.84,Transportation,CAD CREDIT CARD
379,13-Jun-07,,-10.8,Transportation,CAD CREDIT CARD
380,14-Jun-07,,-167,Education,CAD CREDIT CARD
381,14-Jun-07,,-2.22,Fast Food,CAD CHECKING
382,17-Jun-07,,-34.16,Clothing,CAD CHECKING
383,17-Jun-07,,-21.1,Restaurants,CAD CREDIT CARD
384,18-Jun-07,,-10.04,Transportation,CAD CREDIT CARD
385,18-Jun-07,,252,Gift Received,CAD CHECKING
386,19-Jun-07,,-7.33,Alcohol & Bars,CAD CHECKING
387,19-Jun-07,,-6.69,Transportation,CAD CREDIT CARD
388,20-Jun-07,,-5.97,Transportation,CAD CREDIT CARD
389,21-Jun-07,,-5.92,Fast Food,CAD CHECKING
390,21-Jun-07,,-50.62,Groceries,CAD CHECKING
391,21-Jun-07,,-3.84,Clothing,CAD CHECKING
392,21-Jun-07,,1138.52,Paycheck,CAD CHECKING
393,22-Jun-07,,-31.63,Electronics & Software,CAD CHECKING
394,22-Jun-07,,-27.88,Alcohol & Bars,CAD CREDIT CARD
395,24-Jun-07,,-70,Gas & Fuel,CAD CHECKING
396,24-Jun-07,,-4.63,Coffee Shops,CAD CHECKING
397,28-Jun-07,,-7.8,Fast Food,CAD CHECKING
398,28-Jun-07,,-212.71,Utilities,CAD CHECKING
399,30-Jun-07,,-5.02,Entertainment,CAD CHECKING
400,30-Jun-07,,-707,Travel,CAD CHECKING
401,30-Jun-07,,-27.7,Entertainment,CAD CHECKING
402,1-Jul-07,,-38.55,Utilities,CAD CHECKING
403,1-Jul-07,,-6.78,Laundry,CAD CHECKING
404,2-Jul-07,,-22.45,Entertainment,CAD CHECKING
405,3-Jul-07,,-56.32,Restaurants,CAD CREDIT CARD
406,4-Jul-07,,-42.45,Furnishings,CAD CHECKING
407,4-Jul-07,,-404,Mortgage & Rent,CAD CHECKING
408,4-Jul-07,,1472.28,Paycheck,CAD CHECKING
409,5-Jul-07,,-3.68,Fast Food,CAD CHECKING
410,5-Jul-07,,-17.42,Groceries,CAD CHECKING
411,5-Jul-07,,-231.93,Credit Card Payment,CAD CHECKING
412,6-Jul-07,,-13.51,Coffee Shops,CAD CHECKING
413,6-Jul-07,,-4.78,Fast Food,CAD CHECKING
414,6-Jul-07,,-20.3,Entertainment,CAD CHECKING
415,7-Jul-07,,104.76,Taxes,CAD CHECKING
416,7-Jul-07,,-5.1,Fast Food,CAD CHECKING
417,7-Jul-07,,-6.37,Coffee Shops,CAD CHECKING
418,9-Jul-07,,-21.52,Groceries,CAD CHECKING
419,10-Jul-07,,-9.06,Coffee Shops,CAD CHECKING
420,11-Jul-07,,231.93,Credit Card Payment,CAD CREDIT CARD
421,12-Jul-07,,-25.41,Clothing,CAD CHECKING
422,12-Jul-07,,-14.39,Clothing,CAD CHECKING
423,12-Jul-07,,-43.78,Furnishings,CAD CHECKING
424,13-Jul-07,,-28.74,Groceries,CAD CHECKING
425,13-Jul-07,,-23.86,Alcohol & Bars,CAD CHECKING
426,14-Jul-07,,-6.03,Fast Food,CAD CHECKING
427,14-Jul-07,,-10.98,Restaurants,CAD CHECKING
428,17-Jul-07,,-8.05,Fast Food,CAD CHECKING
429,17-Jul-07,,-5.85,Groceries,CAD CHECKING
430,18-Jul-07,,246,Gift Received,CAD CHECKING
431,19-Jul-07,,-17.7,Coffee Shops,CAD CHECKING
432,19-Jul-07,,138.13,Mortgage & Rent,CAD CHECKING
433,21-Jul-07,,868.89,Paycheck,CAD CHECKING
434,21-Jul-07,,-6.67,Entertainment,CAD CHECKING
435,22-Jul-07,,27.2,Mortgage & Rent,CAD CHECKING
436,22-Jul-07,,-5.33,Fast Food,CAD CHECKING
437,22-Jul-07,,-19,Hair,CAD CHECKING
438,22-Jul-07,,-65,Gas & Fuel,CAD CHECKING
439,23-Jul-07,,-83.03,Groceries,CAD CHECKING
440,25-Jul-07,,-5.43,Fast Food,CAD CHECKING
441,26-Jul-07,,-20.11,Alcohol & Bars,CAD CHECKING
442,26-Jul-07,,-28.19,Entertainment,CAD CHECKING
443,27-Jul-07,,-6.27,Personal Care,CAD CHECKING
444,27-Jul-07,,-19.01,Fast Food,CAD CHECKING
445,27-Jul-07,,-44.74,Restaurants,CAD CREDIT CARD
446,29-Jul-07,,-76.87,Gift,CAD CHECKING
447,30-Jul-07,,-14.01,Groceries,CAD CHECKING
448,30-Jul-07,,-18.89,Utilities,CAD CHECKING
449,30-Jul-07,,-11.82,Fast Food,CAD CHECKING
450,31-Jul-07,,-18,Restaurants,CAD CHECKING
451,31-Jul-07,,-27.78,Groceries,CAD CHECKING
452,2-Aug-07,,-87.53,Clothing,CAD CHECKING
453,2-Aug-07,,-147.72,Clothing,CAD CHECKING
